frame,vehicle,raw,trimmed,curved,demand,speed,selector,curve
237,1,0,0,0,0,107,3,A
238,1,0,0,0,0,107,3,A
239,1,0,0,0,0,108,3,A
240,1,0,0,0,0,109,3,A
241,1,0,0,0,0,109,3,A
242,1,0,0,0,0,110,3,A
243,1,0,0,0,0,111,3,A
244,1,0,0,0,0,111,3,A
245,1,0,0,0,0,112,3,A
246,1,0,0,0,0,113,3,A
247,1,0,0,0,0,113,3,A
248,1,0,0,0,0,114,3,A
249,1,0,0,0,0,115,3,A
250,1,0,0,0,0,115,3,A
251,1,0,0,0,0,116,3,A
252,1,0,0,0,0,117,3,A
253,1,0,0,0,0,117,3,A
254,1,0,0,0,0,118,3,A
255,1,0,0,0,0,119,3,A
256,1,0,0,0,0,119,3,A
257,1,0,0,0,0,120,3,A
258,1,0,0,0,0,121,3,A
259,1,0,0,0,0,121,3,A
260,1,0,0,0,0,122,3,A
261,1,0,0,0,0,122,3,A
262,1,0,0,0,0,123,3,A
263,1,0,0,0,0,124,3,A
264,1,0,0,0,0,124,3,A
265,1,0,0,0,0,125,3,A
266,1,0,0,0,0,126,3,A
267,1,0,0,0,0,126,3,A
268,1,0,0,0,0,127,3,A
269,1,0,0,0,0,128,3,A
270,1,0,0,0,0,128,3,A
271,1,0,0,0,0,129,3,A
272,1,0,0,0,0,130,3,A
273,1,0,0,0,0,130,3,A
274,1,0,0,0,0,131,3,A
275,1,0,0,0,0,132,3,A
276,1,0,0,0,0,132,3,A
277,1,0,0,0,0,133,3,A
278,1,0,0,0,0,134,3,A
279,1,0,0,0,0,134,3,A
280,1,0,0,0,0,135,3,A
281,1,0,0,0,0,135,3,A
282,1,0,0,0,0,136,3,A
283,1,0,0,0,0,137,3,A
284,1,0,0,0,0,137,3,A
285,1,0,0,0,0,138,3,A
286,1,0,0,0,0,138,3,A
287,1,0,0,0,0,139,3,A
288,1,0,0,0,0,139,3,A
289,1,0,0,0,0,140,3,A
290,1,0,0,0,0,140,3,A
291,1,0,0,0,0,141,3,A
292,1,0,0,0,0,141,3,A
293,1,0,0,0,0,142,3,A
294,1,0,0,0,0,143,3,A
295,1,0,0,0,0,143,3,A
296,1,0,0,0,0,144,3,A
297,1,0,0,0,0,144,3,A
298,1,0,0,0,0,145,3,A
299,1,0,0,0,0,145,3,A
300,1,0,0,0,0,146,3,A
301,1,0,0,0,0,146,3,A
302,1,0,0,0,0,147,3,A
303,1,0,0,0,0,147,3,A
304,1,0,0,0,0,148,3,A
305,1,0,0,0,0,148,3,A
306,1,0,0,0,0,149,3,A
307,1,0,0,0,0,149,3,A
308,1,0,0,0,0,150,3,A
309,1,0,0,0,0,150,3,A
310,1,0,0,0,0,151,3,A
311,1,0,0,0,0,151,3,A
312,1,0,0,0,0,152,3,A
313,1,0,0,0,0,152,3,A
314,1,0,0,0,0,153,3,A
315,1,0,0,0,0,154,3,A
316,1,0,0,0,0,154,3,A
317,1,0,0,0,0,155,3,A
318,1,0,0,0,0,155,3,A
319,1,0,0,0,0,156,3,A
320,1,0,0,0,0,156,3,A
321,1,0,0,0,0,157,3,A
322,1,0,0,0,0,157,3,A
323,1,0,0,0,0,158,3,A
324,1,0,0,0,0,158,3,A
325,1,0,0,0,0,159,3,A
326,1,0,0,0,0,46,3,A
327,1,0,0,0,0,42,3,A
328,1,0,0,0,0,38,3,A
329,1,0,0,0,0,34,3,A
330,1,0,0,0,0,30,3,A
331,1,0,0,0,0,26,3,A
332,1,0,0,0,0,23,3,A
333,1,0,0,0,0,20,3,A
334,1,0,0,0,0,16,3,A
335,1,0,0,0,0,13,3,A
336,1,0,0,0,0,10,3,A
337,1,0,0,0,0,7,3,A
338,1,0,0,0,0,5,3,A
339,1,0,0,0,0,3,3,A
340,1,0,0,0,0,3,3,A
341,1,0,0,0,0,4,3,A
342,1,0,0,0,0,5,3,A
343,1,0,0,0,0,5,3,A
344,1,0,0,0,0,6,3,A
345,1,0,0,0,0,6,3,A
346,1,0,0,0,0,7,3,A
347,1,0,0,0,0,8,3,A
348,1,0,0,0,0,8,3,A
349,1,0,0,0,0,9,3,A
350,1,0,0,0,0,9,3,A
351,1,0,0,0,0,10,3,A
352,1,0,0,0,0,11,3,A
353,1,0,0,0,0,11,3,A
354,1,0,0,0,0,11,3,A
355,1,0,0,0,0,12,3,A
356,1,0,0,0,0,12,3,A
357,1,0,0,0,0,13,3,A
358,1,0,0,0,0,13,3,A
359,1,0,0,0,0,13,3,A
360,1,0,0,0,0,14,3,A
361,1,0,0,0,0,14,3,A
362,1,0,0,0,0,15,3,A
363,1,0,0,0,0,16,3,A
364,1,0,0,0,0,16,3,A
365,1,0,0,0,0,17,3,A
366,1,0,0,0,0,19,3,A
367,1,0,0,0,0,20,3,A
368,1,0,0,0,0,21,3,A
369,1,0,0,0,0,22,3,A
370,1,0,0,0,0,23,3,A
371,1,0,0,0,0,25,3,A
372,1,0,0,0,0,26,3,A
373,1,0,0,0,0,27,3,A
374,1,0,0,0,0,28,3,A
375,1,0,0,0,0,29,3,A
376,1,0,0,0,0,31,3,A
377,1,0,0,0,0,32,3,A
