frame,vehicle,raw,trimmed,curved,demand,speed,selector,curve
534,1,0,0,0,0,103,0,B
535,1,0,0,0,0,102,0,B
536,1,0,0,0,0,101,0,B
537,1,0,0,0,0,94,0,B
538,1,0,0,0,0,93,0,B
539,1,0,0,0,0,93,0,B
540,1,0,0,0,0,93,0,B
541,1,0,0,0,0,94,0,B
542,1,0,0,0,0,95,0,B
543,1,0,0,0,0,90,0,B
544,1,0,0,0,0,91,0,B
545,1,0,0,0,0,92,0,B
546,1,0,0,0,0,93,0,B
547,1,0,0,0,0,94,0,B
548,1,0,0,0,0,95,0,B
549,1,0,0,0,0,95,0,B
550,1,0,0,0,0,96,0,B
551,1,0,0,0,0,97,0,B
552,1,0,0,0,0,98,0,B
553,1,0,0,0,0,99,0,B
554,1,0,0,0,0,100,0,B
555,1,0,0,0,0,101,0,B
556,1,0,0,0,0,101,0,B
557,1,0,0,0,0,102,0,B
558,1,0,0,0,0,103,0,B
559,1,0,0,0,0,104,0,B
560,1,0,0,0,0,105,0,B
561,1,0,0,0,0,106,0,B
562,1,0,0,0,0,107,0,B
563,1,0,0,0,0,108,0,B
564,1,0,0,0,0,108,0,B
565,1,0,0,0,0,109,0,B
566,1,0,0,0,0,110,0,B
567,1,0,0,0,0,111,0,B
568,1,0,0,0,0,112,0,B
569,1,0,0,0,0,113,0,B
570,1,0,0,0,0,114,0,B
571,1,0,0,0,0,115,0,B
572,1,0,0,0,0,115,0,B
573,1,0,0,0,0,116,0,B
574,1,0,0,0,0,117,0,B
575,1,0,0,0,0,112,0,B
576,1,0,0,0,0,113,0,B
577,1,0,0,0,0,113,0,B
578,1,0,0,0,0,114,0,B
579,1,0,0,0,0,115,0,B
580,1,0,0,0,0,116,0,B
581,1,0,0,0,0,109,0,B
582,1,0,0,0,0,110,0,B
583,1,0,0,0,0,111,0,B
584,1,0,0,0,0,112,0,B
585,1,0,0,0,0,112,0,B
586,1,0,0,0,0,113,0,B
587,1,0,0,0,0,114,0,B
588,1,0,0,0,0,115,0,B
589,1,0,0,0,0,116,0,B
590,1,0,0,0,0,117,0,B
591,1,0,0,0,0,118,0,B
592,1,0,0,0,0,118,0,B
593,1,0,0,0,0,119,0,B
594,1,0,0,0,0,120,0,B
595,1,0,0,0,0,121,0,B
596,1,0,0,0,0,122,0,B
597,1,0,0,0,0,123,0,B
598,1,0,0,0,0,123,0,B
599,1,0,0,0,0,124,0,B
600,1,0,0,0,0,125,0,B
601,1,0,0,0,0,126,0,B
602,1,0,0,0,0,127,0,B
603,1,0,0,0,0,128,0,B
604,1,0,0,0,0,128,0,B
605,1,0,0,0,0,129,0,B
606,1,0,0,0,0,130,0,B
607,1,0,0,0,0,131,0,B
608,1,0,0,0,0,132,0,B
609,1,0,0,0,0,133,0,B
610,1,0,0,0,0,134,0,B
611,1,0,0,0,0,134,0,B
612,1,0,0,0,0,135,0,B
613,1,0,0,0,0,136,0,B
614,1,0,0,0,0,137,0,B
615,1,0,0,0,0,138,0,B
616,1,0,0,0,0,139,0,B
617,1,0,0,0,0,140,0,B
618,1,0,0,0,0,140,0,B
619,1,0,0,0,0,141,0,B
620,1,0,0,0,0,142,0,B
621,1,0,0,0,0,143,0,B
622,1,0,0,0,0,143,0,B
623,1,0,0,0,0,144,0,B
624,1,0,0,0,0,144,0,B
